total_loss,test_loss
2306.0425572395325,2155.5063004493713
2118.2853813171387,2078.094326019287
2023.0491156578064,1957.2597002983093
1913.4515113830566,1857.9246835708618
1826.1136207580566,1780.061098575592
1759.5516157150269,1720.3755421638489
1705.0312786102295,1670.1167252063751
1657.4248175621033,1623.4182953834534
1615.1440567970276,1581.3299820423126
1576.1621236801147,1545.0332794189453
1540.7965474128723,1509.8520939350128
1508.155285835266,1476.618813753128
1477.0898382663727,1447.142895936966
1448.6603515148163,1419.248604774475
1421.4603643417358,1393.3454473018646
1396.0024952888489,1368.1515562534332
1371.7778370380402,1344.7648060321808
1348.5094192028046,1321.9933812618256
1326.2788486480713,1300.5135517120361
1306.4880311489105,1281.9300408363342
1286.0044341087341,1261.315503358841
1267.3307659626007,1242.124274611473
1249.846818447113,1222.8744630813599
1230.4500596523285,1206.9853250980377
1215.6450295448303,1192.4842958450317
1198.5684056282043,1174.6942031383514
1183.8197071552277,1162.7437535524368
1169.618281841278,1150.6629927158356
1156.4622976779938,1136.846404671669
1143.3086185455322,1120.073108792305
1129.4156892299652,1108.6625870466232
1116.9712886810303,1095.115579366684
1106.134122133255,1083.0953528881073
1092.550161600113,1072.3538517951965
1082.3090825080872,1061.3309611082077
1071.9688985347748,1052.782804965973
1061.9226315021515,1042.7743043899536
1051.2364246845245,1032.7395627498627
1042.333241701126,1023.7467286586761
1032.4633650779724,1013.9753090143204
1024.611008644104,1005.4039671421051
1015.9009346961975,999.3359068632126
1006.9142847061157,988.1982173919678
999.0202965736389,979.6557002067566
990.7289700508118,972.9809778928757
982.9780714511871,964.7645136117935
976.5840857028961,958.6495159864426
968.3345172405243,948.3745946884155
959.0293328762054,941.3694354891777
953.7766251564026,934.723691701889
946.7107422351837,928.3942193388939
941.7002313137054,926.2160792946815
935.6269454956055,920.4703953266144
929.6905150413513,912.2195798754692
924.0930337905884,903.5861228108406
916.8968288898468,899.8106396794319
912.7392768859863,893.3726564049721
906.8688344955444,891.5671502351761
902.694286108017,884.1793464422226
897.5491859912872,888.9735783338547
892.9994802474976,875.3527116179466
886.505345582962,867.8651527762413
881.989019870758,867.0027858614922
877.8887712955475,859.8823170661926
874.1454205513,860.6080958247185
869.3910546302795,851.2450396418571
863.6661019325256,847.6998454928398
859.9835884571075,841.5944364666939
854.2646915912628,838.3747628927231
851.5973715782166,833.1881378889084
846.5877126455307,831.1614186763763
843.6742861270905,828.2045364975929
839.7347769737244,825.5931889414787
837.7040319442749,821.1300547122955
833.1832692623138,818.4599350690842
830.3227463960648,814.0499392151833
826.5832545757294,811.513300538063
823.7141069173813,809.2255195379257
818.888186454773,806.3302380442619
816.8819593191147,803.4721406698227
814.5433208942413,799.1786202788353
810.0093047618866,796.4053597450256
810.1506814956665,799.4752914905548
805.7323443889618,790.740825176239
804.9379839897156,785.9743605256081
798.4670110940933,781.1019353270531
794.1274225711823,780.042778968811
795.3141927719116,774.3942046761513
786.6735653877258,773.2281988859177
786.910927772522,774.4304109811783
785.7322814464569,770.9576935172081
783.8901870250702,768.1780703663826
779.9725131988525,764.9834529161453
779.7715030908585,763.8881195187569
774.9053554534912,761.4182230830193
774.4547507762909,759.902713239193
772.379734992981,760.1314477920532
768.2876633405685,756.8797770738602
769.6660054922104,755.8397185206413
766.6764847040176,752.1852778196335
761.6069667339325,748.1628853082657
764.4922893047333,749.9298541545868
757.012678861618,744.0196180939674
755.8414750099182,744.038781106472
754.231948018074,744.5801284313202
754.1706237792969,737.2178354859352
801.2403614521027,759.3939166665077
754.2215431928635,730.2730361819267
739.1218670606613,729.5113173723221
742.1251479387283,732.8162639141083
742.0007083415985,727.9465058147907
743.0579253435135,728.2693017721176
740.6639477014542,728.033870279789
739.2116467952728,731.3315140008926
739.9238954782486,721.3824440836906
733.8534017801285,722.1358077228069
736.6420501470566,722.8000996112823
733.2640577554703,716.4410385489464
729.0245009660721,718.6414314806461
730.2781338691711,723.2650310397148
728.557816028595,713.7672034502029
725.4388616085052,712.161621004343
746.4591714143753,734.426776945591
729.0433580875397,706.5584051311016
718.8473998308182,704.3259959816933
715.3218826055527,703.3605623841286
722.5951585769653,710.8245097696781
719.7360152006149,709.247301608324
717.3293293714523,706.9881185889244
715.3064118623734,701.3743109405041
714.53380382061,702.9304763674736
715.4718729257584,708.3331845700741
713.1284937858582,700.7135716378689
715.2633879184723,700.6344545483589
708.3331314325333,695.8699976503849
707.0166267156601,696.6456353962421
707.5815653800964,694.103738874197
705.9278316497803,692.8775762021542
706.101242184639,691.7075224816799
703.8472871780396,694.0398764312267
702.5040092468262,691.3527801930904
702.5553497076035,689.3675749003887
701.7791514396667,690.7209683954716
701.7252620458603,687.7352011799812
697.6973521709442,687.0871104598045
697.3512431383133,682.0766145586967
694.767279624939,682.8525280058384
694.296169757843,682.8466229140759
695.1473724842072,685.995603621006
697.143306016922,679.9479185342789
692.6686539649963,679.6901323497295
689.1743869781494,674.9042650163174
688.4416135549545,675.337465941906
687.640632390976,680.730569511652
694.9482223987579,675.8245187699795
684.9911226034164,674.7723142802715
686.3838276863098,678.2187144458294
684.6422375440598,671.610023111105
685.6900659799576,679.3985964655876
685.7637600898743,673.9210640788078
680.7670888900757,666.4278770983219
681.9091503620148,677.1851700544357
684.0238989591599,671.2427499294281
691.2373611927032,666.9942819178104
676.0398895740509,673.1375916898251
676.1883683204651,665.7548822462559
674.3408066034317,660.7925615012646
678.9814854860306,664.4758649766445
671.6522989273071,663.2459923624992
674.0109385251999,662.6351405382156
672.5339043140411,658.9697932004929
674.2782392501831,664.4573158025742
672.8965435028076,661.5527419447899
671.9717437028885,657.4760936796665
670.8499890565872,659.6955183148384
669.0411776304245,654.2098135948181
669.0575081110001,662.6243590116501
671.1118739843369,664.7948337495327
672.6586524248123,655.8243982791901
665.9026596546173,654.5578402876854
662.7129775285721,656.0880759954453
663.8930925130844,653.9459033310413
666.763445854187,658.2253405153751
667.090359210968,650.1519848406315
664.4971467256546,652.5679553747177
664.5615975856781,655.9946185946465
665.3048726320267,650.976714849472
660.3928178548813,660.6191685795784
661.5923691987991,654.1357478499413
660.6651526689529,649.7702167928219
658.551834821701,648.4262447357178
658.0531384944916,645.3680481910706
659.2071070671082,649.7527324557304
658.5228189229965,649.7174124419689
662.1174968481064,646.634593129158
656.1930027008057,645.9551276564598
655.1908448934555,643.044246673584
653.037691950798,641.3854393362999
654.8044700622559,645.7267680168152
654.1564747095108,642.8560493290424
656.6391032934189,641.7556840181351
652.3443430662155,642.0059188008308
652.9288232326508,642.2061259746552
652.2484604120255,636.3913489580154
651.9437507390976,643.9955194592476
648.326865196228,636.2936896681786
653.0970962047577,657.60574182868